Code Domaine;Code zone (M49);Zone;Code année;Année;Unité;Valeur
OA;4;Afghanistan;2016;2016;1000 personnes;34636.207
OA;4;Afghanistan;2019;2019;1000 personnes;37769.499
OA;710;Afrique du Sud;2016;2016;1000 personnes;56422.274
OA;710;Afrique du Sud;2019;2019;1000 personnes;58087.055
OA;8;Albanie;2016;2016;1000 personnes;2881.063
OA;8;Albanie;2019;2019;1000 personnes;2873.883
OA;12;Algérie;2016;2016;1000 personnes;40339.329
OA;12;Algérie;2019;2019;1000 personnes;42705.368
OA;276;Allemagne;2016;2016;1000 personnes;82331.423
OA;276;Allemagne;2019;2019;1000 personnes;83148.141
OA;20;Andorre;2016;2016;1000 personnes;72.54
OA;20;Andorre;2019;2019;1000 personnes;76.343
OA;24;Angola;2016;2016;1000 personnes;29154.746
OA;24;Angola;2019;2019;1000 personnes;32353.588
OA;660;Anguilla;2016;2016;1000 personnes;14.813
OA;660;Anguilla;2019;2019;1000 personnes;15.38
OA;28;Antigua-et-Barbuda;2016;2016;1000 personnes;90.564
OA;28;Antigua-et-Barbuda;2019;2019;1000 personnes;92.117
OA;682;Arabie saoudite;2016;2016;1000 personnes;33416.27
OA;682;Arabie saoudite;2019;2019;1000 personnes;35827.362
OA;32;Argentine;2016;2016;1000 personnes;43668.241
OA;32;Argentine;2019;2019;1000 personnes;44745.52
OA;51;Arménie;2016;2016;1000 personnes;2865.835
OA;51;Arménie;2019;2019;1000 personnes;2820.602
OA;533;Aruba;2016;2016;1000 personnes;104.874
OA;533;Aruba;2019;2019;1000 personnes;106.442
OA;36;Australie;2016;2016;1000 personnes;24195.701
OA;36;Australie;2019;2019;1000 personnes;25357.17
OA;40;Autriche;2016;2016;1000 personnes;8736.487
OA;40;Autriche;2019;2019;1000 personnes;8879.94
OA;31;Azerbaïdjan;2016;2016;1000 personnes;9976.248
OA;31;Azerbaïdjan;2019;2019;1000 personnes;10232.753
OA;44;Bahamas;2016;2016;1000 personnes;395.976
OA;44;Bahamas;2019;2019;1000 personnes;404.557
OA;48;Bahreïn;2016;2016;1000 personnes;1409.661
OA;48;Bahreïn;2019;2019;1000 personnes;1494.188
OA;50;Bangladesh;2016;2016;1000 personnes;159784.568
OA;50;Bangladesh;2019;2019;1000 personnes;165516.222
OA;52;Barbade;2016;2016;1000 personnes;278.649
OA;52;Barbade;2019;2019;1000 personnes;280.18
OA;112;Bélarus;2016;2016;1000 personnes;9708.11
OA;112;Bélarus;2019;2019;1000 personnes;9673.971
OA;56;Belgique;2016;2016;1000 personnes;11316.836
OA;56;Belgique;2019;2019;1000 personnes;11510.568
OA;84;Belize;2016;2016;1000 personnes;367.313
OA;84;Belize;2019;2019;1000 personnes;389.095
OA;204;Bénin;2016;2016;1000 personnes;11260.085
OA;204;Bénin;2019;2019;1000 personnes;12290.444
OA;60;Bermudes;2016;2016;1000 personnes;63.068
OA;60;Bermudes;2019;2019;1000 personnes;63.812
OA;64;Bhoutan;2016;2016;1000 personnes;749.761
OA;64;Bhoutan;2019;2019;1000 personnes;767.459
OA;68;Bolivie;2016;2016;1000 personnes;11263.015
OA;68;Bolivie;2019;2019;1000 personnes;11777.315
OA;535;Bonaire Saint-Eustache et Saba;2016;2016;1000 personnes;23.77
OA;535;Bonaire Saint-Eustache et Saba;2019;2019;1000 personnes;25.57
OA;70;Bosnie-Herzégovine;2016;2016;1000 personnes;3480.986
OA;70;Bosnie-Herzégovine;2019;2019;1000 personnes;3360.711
OA;72;Botswana;2016;2016;1000 personnes;2352.416
OA;72;Botswana;2019;2019;1000 personnes;2499.702
OA;76;Brésil;2016;2016;1000 personnes;206859.578
OA;76;Brésil;2019;2019;1000 personnes;211782.878
OA;96;Brunéi Darussalam;2016;2016;1000 personnes;425.994
OA;96;Brunéi Darussalam;2019;2019;1000 personnes;438.048
OA;100;Bulgarie;2016;2016;1000 personnes;7245.975
OA;100;Bulgarie;2019;2019;1000 personnes;7052.532
OA;854;Burkina Faso;2016;2016;1000 personnes;19275.498
OA;854;Burkina Faso;2019;2019;1000 personnes;20951.639
OA;108;Burundi;2016;2016;1000 personnes;10903.327
OA;108;Burundi;2019;2019;1000 personnes;11874.838
OA;132;Cabo Verde;2016;2016;1000 personnes;558.394
OA;132;Cabo Verde;2019;2019;1000 personnes;577.03
OA;116;Cambodge;2016;2016;1000 personnes;15624.584
OA;116;Cambodge;2019;2019;1000 personnes;16207.746
OA;120;Cameroun;2016;2016;1000 personnes;23711.63
OA;120;Cameroun;2019;2019;1000 personnes;25782.341
OA;124;Canada;2016;2016;1000 personnes;36113.532
OA;124;Canada;2019;2019;1000 personnes;37522.584
OA;152;Chili;2016;2016;1000 personnes;18083.879
OA;152;Chili;2019;2019;1000 personnes;19039.485
OA;159;Chine;2016;2016;1000 personnes;1433546.767
OA;159;Chine;2019;2019;1000 personnes;1453801.543
OA;344;Chine - RAS de Hong-Kong;2016;2016;1000 personnes;7435.927
OA;344;Chine - RAS de Hong-Kong;2019;2019;1000 personnes;7496.122
OA;446;Chine - RAS de Macao;2016;2016;1000 personnes;626.688
OA;446;Chine - RAS de Macao;2019;2019;1000 personnes;663.653
OA;156;Chine, continentale;2016;2016;1000 personnes;1401889.681
OA;156;Chine, continentale;2019;2019;1000 personnes;1421864.031
OA;158;Chine, Taiwan Province de;2016;2016;1000 personnes;23594.471
OA;158;Chine, Taiwan Province de;2019;2019;1000 personnes;23777.737
OA;196;Chypre;2016;2016;1000 personnes;1197.881
OA;196;Chypre;2019;2019;1000 personnes;1228.836
OA;170;Colombie;2016;2016;1000 personnes;47625.955
OA;170;Colombie;2019;2019;1000 personnes;50187.406
OA;174;Comores;2016;2016;1000 personnes;746.232
OA;174;Comores;2019;2019;1000 personnes;790.986
OA;178;Congo;2016;2016;1000 personnes;5186.824
OA;178;Congo;2019;2019;1000 personnes;5570.733
OA;188;Costa Rica;2016;2016;1000 personnes;4945.205
OA;188;Costa Rica;2019;2019;1000 personnes;5084.532
OA;384;Côte d'Ivoire;2016;2016;1000 personnes;24213.622
OA;384;Côte d'Ivoire;2019;2019;1000 personnes;26147.551
OA;191;Croatie;2016;2016;1000 personnes;4223.751
OA;191;Croatie;2019;2019;1000 personnes;4129.752
OA;192;Cuba;2016;2016;1000 personnes;11342.012
OA;192;Cuba;2019;2019;1000 personnes;11316.697
OA;531;Curaçao;2016;2016;1000 personnes;170.739
OA;531;Curaçao;2019;2019;1000 personnes;193.107
OA;208;Danemark;2016;2016;1000 personnes;5706.857
OA;208;Danemark;2019;2019;1000 personnes;5795.878
OA;262;Djibouti;2016;2016;1000 personnes;1023.261
OA;262;Djibouti;2019;2019;1000 personnes;1073.994
OA;212;Dominique;2016;2016;1000 personnes;70.075
OA;212;Dominique;2019;2019;1000 personnes;71.428
OA;818;Égypte;2016;2016;1000 personnes;99784.03
OA;818;Égypte;2019;2019;1000 personnes;105618.671
OA;222;El Salvador;2016;2016;1000 personnes;6250.51
OA;222;El Salvador;2019;2019;1000 personnes;6280.217
OA;784;Émirats arabes unis;2016;2016;1000 personnes;8994.263
OA;784;Émirats arabes unis;2019;2019;1000 personnes;9211.657
OA;218;Équateur;2016;2016;1000 personnes;16439.585
OA;218;Équateur;2019;2019;1000 personnes;17343.74
OA;232;Érythrée;2016;2016;1000 personnes;3365.287
OA;232;Érythrée;2019;2019;1000 personnes;3498.818
OA;724;Espagne;2016;2016;1000 personnes;46473.315
OA;724;Espagne;2019;2019;1000 personnes;47131.372
OA;233;Estonie;2016;2016;1000 personnes;1315.926
OA;233;Estonie;2019;2019;1000 personnes;1327.039
OA;748;Eswatini;2016;2016;1000 personnes;1142.524
OA;748;Eswatini;2019;2019;1000 personnes;1169.613
OA;840;États-Unis d'Amérique;2016;2016;1000 personnes;327210.198
OA;840;États-Unis d'Amérique;2019;2019;1000 personnes;334319.671
OA;231;Éthiopie;2016;2016;1000 personnes;105293.228
OA;231;Éthiopie;2019;2019;1000 personnes;114120.594
OA;643;Fédération de Russie;2016;2016;1000 personnes;145109.157
OA;643;Fédération de Russie;2019;2019;1000 personnes;145742.286
OA;242;Fidji;2016;2016;1000 personnes;918.371
OA;242;Fidji;2019;2019;1000 personnes;918.465
OA;246;Finlande;2016;2016;1000 personnes;5495.219
OA;246;Finlande;2019;2019;1000 personnes;5521.537
OA;250;France;2016;2016;1000 personnes;63989.319
OA;250;France;2019;2019;1000 personnes;64399.759
OA;266;Gabon;2016;2016;1000 personnes;2086.206
OA;266;Gabon;2019;2019;1000 personnes;2242.785
OA;270;Gambie;2016;2016;1000 personnes;2317.206
OA;270;Gambie;2019;2019;1000 personnes;2508.883
OA;268;Géorgie;2016;2016;1000 personnes;3771.11
OA;268;Géorgie;2019;2019;1000 personnes;3770.811
OA;288;Ghana;2016;2016;1000 personnes;29554.303
OA;288;Ghana;2019;2019;1000 personnes;31522.29
OA;292;Gibraltar;2016;2016;1000 personnes;32.565
OA;292;Gibraltar;2019;2019;1000 personnes;32.685
OA;300;Grèce;2016;2016;1000 personnes;10749.742
OA;300;Grèce;2019;2019;1000 personnes;10574.024
OA;308;Grenade;2016;2016;1000 personnes;119.966
OA;308;Grenade;2019;2019;1000 personnes;122.724
OA;304;Groenland;2016;2016;1000 personnes;55.916
OA;304;Groenland;2019;2019;1000 personnes;55.931
OA;312;Guadeloupe;2016;2016;1000 personnes;397.854
OA;312;Guadeloupe;2019;2019;1000 personnes;395.485
OA;316;Guam;2016;2016;1000 personnes;168.346
OA;316;Guam;2019;2019;1000 personnes;168.624
OA;320;Guatemala;2016;2016;1000 personnes;16291.004
OA;320;Guatemala;2019;2019;1000 personnes;17106.338
OA;324;Guinée;2016;2016;1000 personnes;11930.985
OA;324;Guinée;2019;2019;1000 personnes;12877.539
OA;226;Guinée équatoriale;2016;2016;1000 personnes;1398.927
OA;226;Guinée équatoriale;2019;2019;1000 personnes;1553.031
OA;624;Guinée-Bissau;2016;2016;1000 personnes;1834.552
OA;624;Guinée-Bissau;2019;2019;1000 personnes;1970.457
OA;328;Guyana;2016;2016;1000 personnes;759.087
OA;328;Guyana;2019;2019;1000 personnes;798.753
OA;254;Guyane française;2016;2016;1000 personnes;262.813
OA;254;Guyane française;2019;2019;1000 personnes;284.072
OA;332;Haïti;2016;2016;1000 personnes;10713.849
OA;332;Haïti;2019;2019;1000 personnes;11160.438
OA;340;Honduras;2016;2016;1000 personnes;9460.798
OA;340;Honduras;2019;2019;1000 personnes;9958.829
OA;348;Hongrie;2016;2016;1000 personnes;9815.104
OA;348;Hongrie;2019;2019;1000 personnes;9771.796
OA;833;Île de Man;2016;2016;1000 personnes;83.45
OA;833;Île de Man;2019;2019;1000 personnes;83.933
OA;136;Îles Caïmanes;2016;2016;1000 personnes;62.255
OA;136;Îles Caïmanes;2019;2019;1000 personnes;66.134
OA;184;Îles Cook;2016;2016;1000 personnes;17.546
OA;184;Îles Cook;2019;2019;1000 personnes;17.11
OA;238;Îles Falkland (Malvinas);2016;2016;1000 personnes;3.508
OA;238;Îles Falkland (Malvinas);2019;2019;1000 personnes;3.71
OA;234;Îles Féroé;2016;2016;1000 personnes;49.5
OA;234;Îles Féroé;2019;2019;1000 personnes;51.681
OA;580;Îles Mariannes du Nord;2016;2016;1000 personnes;51.133
OA;580;Îles Mariannes du Nord;2019;2019;1000 personnes;49.858
OA;584;Îles Marshall;2016;2016;1000 personnes;48.329
OA;584;Îles Marshall;2019;2019;1000 personnes;44.728
OA;90;Îles Salomon;2016;2016;1000 personnes;628.102
OA;90;Îles Salomon;2019;2019;1000 personnes;674.993
OA;796;Îles Turques-et-Caïques;2016;2016;1000 personnes;38.246
OA;796;Îles Turques-et-Caïques;2019;2019;1000 personnes;43.08
OA;850;Îles Vierges américaines;2016;2016;1000 personnes;102.316
OA;850;Îles Vierges américaines;2019;2019;1000 personnes;100.826
OA;92;Îles Vierges britanniques;2016;2016;1000 personnes;29.739
OA;92;Îles Vierges britanniques;2019;2019;1000 personnes;30.61
OA;876;Îles Wallis-et-Futuna;2016;2016;1000 personnes;12.06
OA;876;Îles Wallis-et-Futuna;2019;2019;1000 personnes;11.714
OA;356;Inde;2016;2016;1000 personnes;1338636.34
OA;356;Inde;2019;2019;1000 personnes;1383112.05
OA;360;Indonésie;2016;2016;1000 personnes;261850.182
OA;360;Indonésie;2019;2019;1000 personnes;269582.878
OA;364;Iran (République islamique d');2016;2016;1000 personnes;83306.231
OA;364;Iran (République islamique d');2019;2019;1000 personnes;86564.202
OA;368;Iraq;2016;2016;1000 personnes;38697.943
OA;368;Iraq;2019;2019;1000 personnes;41563.52
OA;372;Irlande;2016;2016;1000 personnes;4715.788
OA;372;Irlande;2019;2019;1000 personnes;4896.019
OA;352;Islande;2016;2016;1000 personnes;335.675
OA;352;Islande;2019;2019;1000 personnes;360.774
OA;376;Israël;2016;2016;1000 personnes;8159.009
OA;376;Israël;2019;2019;1000 personnes;8607.919
OA;380;Italie;2016;2016;1000 personnes;60118.626
OA;380;Italie;2019;2019;1000 personnes;59727.932
OA;388;Jamaïque;2016;2016;1000 personnes;2802.695
OA;388;Jamaïque;2019;2019;1000 personnes;2813.773
OA;392;Japon;2016;2016;1000 personnes;126993.857
OA;392;Japon;2019;2019;1000 personnes;125791.677
OA;400;Jordanie;2016;2016;1000 personnes;9964.656
OA;400;Jordanie;2019;2019;1000 personnes;10698.683
OA;398;Kazakhstan;2016;2016;1000 personnes;18078.553
OA;398;Kazakhstan;2019;2019;1000 personnes;18754.258
OA;404;Kenya;2016;2016;1000 personnes;47894.67
OA;404;Kenya;2019;2019;1000 personnes;50951.45
OA;417;Kirghizistan;2016;2016;1000 personnes;6018.299
OA;417;Kirghizistan;2019;2019;1000 personnes;6323.643
OA;296;Kiribati;2016;2016;1000 personnes;118.513
OA;296;Kiribati;2019;2019;1000 personnes;124.241
OA;414;Koweït;2016;2016;1000 personnes;4048.085
OA;414;Koweït;2019;2019;1000 personnes;4441.1
OA;426;Lesotho;2016;2016;1000 personnes;2143.872
OA;426;Lesotho;2019;2019;1000 personnes;2225.702
OA;428;Lettonie;2016;2016;1000 personnes;1973.476
